"id","Category_id","Supplier_id","Name","image","Unit_id","Subunit_id","Contains","subunit_replenish_qty","Buying_price","Discount","Price","Opening_stock","Quantity","Restock_Level","Created_at","Updated_at"
63,3,1,"Chilli Pieces","1646052906.png",13,1,0,0,1,0,1,166,99,5,"2022-02-28 06:55:06","2023-06-12 13:05:11"
65,6,7,"Banana(s) Pieces","1646388186.png",13,1,0,0,5,0,10,16,1,0,"2022-03-04 04:03:06","2023-04-24 10:17:43"
67,3,7,"Dania Bunches","1646392155.png",17,1,0,0,5,0,10,20,7,0,"2022-03-04 05:09:15","2023-06-13 13:19:10"
68,4,3,"Matumbo Kilogram(s)","1646392405.png",10,1,0,0,180,0,350,8.29,3.74134,0,"2022-03-04 05:13:25","2023-06-13 12:48:21"
69,3,7,"Garlic Pieces","1646469204.png",13,1,0,0,15,0,20,15,21.25,0,"2022-03-05 02:33:24","2023-06-13 10:41:50"
71,2,2,"Tilapia Kilogram(s)","1646479288.png",10,1,0,0,363,0,700,17,15.2556,2,"2022-03-05 05:21:28","2023-06-13 11:50:32"
72,3,7,"White Button Mushrooms","1646480014.png",18,1,0,0,100,0,180,4,17.2944,1,"2022-03-05 05:33:34","2023-04-22 09:20:48"
73,3,7,"Habanero Chili","1646494147.png",18,1,0,0,40,0,70,6,2.14286,1,"2022-03-05 09:29:07","2023-06-13 10:43:56"
74,3,1,"Ginger Punnet(s)","1646494919.png",18,1,0,0,50,0,100,2,0,1,"2022-03-05 09:41:59","2022-09-01 01:46:55"
75,3,1,"Bottled Chili","1646495034.png",19,1,0,0,180,0,300,5,4,1,"2022-03-05 09:43:54","2023-06-02 11:32:18"
76,9,1,"Bottled Organic Jam","1646495824.png",19,1,0,0,150,0,300,7,0,1,"2022-03-05 09:57:04","2023-01-27 03:24:02"
77,7,1,"Ugali Chicken (for 10)","1646567732.png",1,1,0,0,1000,0,2100,1,0,1,"2022-03-06 05:55:32","2022-05-22 09:01:57"
78,7,1,"Ugali Beef (for 4)","1646665435.png",1,1,0,0,700,0,850,1,0,1,"2022-03-07 09:03:55","2022-09-01 01:46:48"
80,4,3,"Blade Kilogram(s)","1646929913.png",10,1,0,0,400,0,500,0,0,2,"2022-03-10 10:31:53","2022-09-01 01:46:35"
81,4,1,"Shin On Bone Kg(s)","1646930410.png",10,1,0,0,400,0,500,0,0,2,"2022-03-10 10:40:10","2022-09-01 01:46:32"
82,4,3,"Brisket Kilogram(s)","1646930458.png",10,1,0,0,400,0,500,0,0,2,"2022-03-10 10:40:58","2022-09-01 01:46:30"
